config_id,jobs,work,cores_used,own_bus,sum_bus,t_solo_ms,t_mix_ms,slowdown_actual,slowdown_pred,abs_error
154,"DOT:84:1,ERF:12:1,DOT:84:1,DOT:36:1",DOT_84_c1,5,34.0,123.2,37041,116526,3.146,3.078,0.068
154,"DOT:84:1,ERF:12:1,DOT:84:1,DOT:36:1",ERF_12_c1,0,21.2,123.2,12734,32109,2.522,2.385,0.136
154,"DOT:84:1,ERF:12:1,DOT:84:1,DOT:36:1",DOT_84_c1,1,34.0,123.2,37041,116432,3.143,3.078,0.065
154,"DOT:84:1,ERF:12:1,DOT:84:1,DOT:36:1",DOT_36_c1,4,34.0,123.2,15880,44839,2.824,3.0,0.176
155,"SUM:132:1,ERF:24:1",SUM_132_c1,1,32.0,53.2,30946,42106,1.361,1.518,0.158
155,"SUM:132:1,ERF:24:1",ERF_24_c1,5,21.2,53.2,25440,34049,1.338,1.365,0.026
156,"TGAMMA:12:1,SUM:108:1",TGAMMA_12_c1,5,4.0,36.0,6773,6814,1.006,1.0,0.006
156,"TGAMMA:12:1,SUM:108:1",SUM_108_c1,4,32.0,36.0,25305,26506,1.047,1.0,0.047
157,"XPY:60:1,SUM:132:1,ERF:12:1",XPY_60_c1,0,45.2,98.4,29859,81195,2.719,2.447,0.272
157,"XPY:60:1,SUM:132:1,ERF:12:1",SUM_132_c1,1,32.0,98.4,30946,47063,1.521,2.506,0.985
157,"XPY:60:1,SUM:132:1,ERF:12:1",ERF_12_c1,4,21.2,98.4,12734,36897,2.898,2.094,0.804
158,"ERF:48:1,SUM:108:1",ERF_48_c1,5,21.2,53.2,50880,68076,1.338,1.365,0.027
158,"ERF:48:1,SUM:108:1",SUM_108_c1,1,32.0,53.2,25305,34507,1.364,1.518,0.155
159,"DOT:84:2,COPY:84:1",DOT_84_c2,"0,1",40.1,73.0,31407,70520,2.245,1.667,0.578
159,"DOT:84:2,COPY:84:1",COPY_84_c1,5,32.9,73.0,38335,141350,3.687,2.317,1.37
160,"TGAMMA:12:1,ERF:12:1",TGAMMA_12_c1,5,4.0,25.2,6773,6780,1.001,1.0,0.001
160,"TGAMMA:12:1,ERF:12:1",ERF_12_c1,1,21.2,25.2,12734,12829,1.007,1.0,0.007
161,"COPY:60:2,TGAMMA:60:2",COPY_60_c2,"0,5",33.2,41.2,27078,32034,1.183,1.0,0.183
161,"COPY:60:2,TGAMMA:60:2",TGAMMA_60_c2,"4,1",8.0,41.2,16972,17682,1.042,1.0,0.042
162,"SQRTX:12:1,POW:36:1,ERF:24:1",SQRTX_12_c1,5,19.8,56.0,9078,11553,1.273,1.363,0.091
162,"SQRTX:12:1,POW:36:1,ERF:24:1",POW_36_c1,4,15.0,56.0,72048,75921,1.054,1.124,0.07
162,"SQRTX:12:1,POW:36:1,ERF:24:1",ERF_24_c1,1,21.2,56.0,25440,30457,1.197,1.351,0.154
163,"POW:12:2,SQRTX:12:1",POW_12_c2,"0,1",29.3,49.1,12291,12681,1.032,1.0,0.032
163,"POW:12:2,SQRTX:12:1",SQRTX_12_c1,5,19.8,49.1,9078,10454,1.152,1.219,0.068
164,"TGAMMA:60:1,COPY:84:1",TGAMMA_60_c1,0,4.0,36.9,33855,34615,1.022,1.007,0.016
164,"TGAMMA:60:1,COPY:84:1",COPY_84_c1,4,32.9,36.9,38335,41765,1.089,1.0,0.089
165,"SUM:84:1,TGAMMA:60:1",SUM_84_c1,1,32.0,36.0,19687,20641,1.048,1.0,0.048
165,"SUM:84:1,TGAMMA:60:1",TGAMMA_60_c1,4,4.0,36.0,33855,34003,1.004,1.0,0.004
166,"XPY:60:2,TGAMMA:12:1",XPY_60_c2,"0,1",49.0,53.0,27541,31841,1.156,1.05,0.106
166,"XPY:60:2,TGAMMA:12:1",TGAMMA_12_c1,4,4.0,53.0,6773,7108,1.049,1.02,0.029
167,"POW:36:1,POW:36:2",POW_36_c1,5,15.0,44.3,72048,76995,1.069,1.067,0.001
167,"POW:36:1,POW:36:2",POW_36_c2,"0,1",29.3,44.3,36901,38497,1.043,1.0,0.043
168,"ERF:12:1,TGAMMA:60:1,TGAMMA:120:1",ERF_12_c1,0,21.2,29.2,12734,12967,1.018,1.0,0.018
168,"ERF:12:1,TGAMMA:60:1,TGAMMA:120:1",TGAMMA_60_c1,4,4.0,29.2,33855,33894,1.001,1.0,0.001
168,"ERF:12:1,TGAMMA:60:1,TGAMMA:120:1",TGAMMA_120_c1,1,4.0,29.2,67717,67829,1.002,1.0,0.002
169,"TGAMMA:120:1,XPY:60:1",TGAMMA_120_c1,4,4.0,49.2,67717,68936,1.018,1.023,0.005
169,"TGAMMA:120:1,XPY:60:1",XPY_60_c1,0,45.2,49.2,29859,32091,1.075,1.242,0.167
170,"SUM:132:1,DOT:84:1",SUM_132_c1,0,32.0,66.0,30946,51512,1.665,1.689,0.024
170,"SUM:132:1,DOT:84:1",DOT_84_c1,5,34.0,66.0,37041,59638,1.61,1.624,0.014
171,"SUM:108:3,TGAMMA:12:1",SUM_108_c3,"0,1,4",39.4,43.4,20537,25663,1.25,1.0,0.25
171,"SUM:108:3,TGAMMA:12:1",TGAMMA_12_c1,5,4.0,43.4,6773,7075,1.045,1.007,0.037
172,"SUM:108:1,COPY:60:1",SUM_108_c1,5,32.0,64.8,25305,37701,1.49,1.657,0.167
172,"SUM:108:1,COPY:60:1",COPY_60_c1,4,32.8,64.8,27398,57240,2.089,1.837,0.252
173,"TGAMMA:120:1,SQRTX:12:1,ERF:12:1",TGAMMA_120_c1,4,4.0,45.0,67717,68125,1.006,1.011,0.005
173,"TGAMMA:120:1,SQRTX:12:1,ERF:12:1",SQRTX_12_c1,1,19.8,45.0,9078,9443,1.04,1.081,0.041
173,"TGAMMA:120:1,SQRTX:12:1,ERF:12:1",ERF_12_c1,0,21.2,45.0,12734,13518,1.062,1.099,0.038
174,"DOT:36:1,ERF:12:1",DOT_36_c1,1,34.0,55.2,15880,21919,1.38,1.365,0.015
174,"DOT:36:1,ERF:12:1",ERF_12_c1,4,21.2,55.2,12734,14687,1.153,1.243,0.09
175,"POW:36:1,XPY:48:1,DOT:36:2",POW_36_c1,1,15.0,100.0,72048,120197,1.668,1.491,0.178
175,"POW:36:1,XPY:48:1,DOT:36:2",XPY_48_c1,4,44.9,100.0,24058,85111,3.538,2.472,1.066
175,"POW:36:1,XPY:48:1,DOT:36:2",DOT_36_c2,"0,5",40.1,100.0,13460,30119,2.238,2.45,0.212
176,"XPY:60:1,TGAMMA:12:2",XPY_60_c1,1,45.2,53.2,29859,34141,1.143,1.335,0.191
176,"XPY:60:1,TGAMMA:12:2",TGAMMA_12_c2,"4,5",8.0,53.2,3394,3447,1.016,1.006,0.01
177,"SUM:84:1,DOT:84:1",SUM_84_c1,4,32.0,66.0,19687,32752,1.664,1.689,0.025
177,"SUM:84:1,DOT:84:1",DOT_84_c1,1,34.0,66.0,37041,59685,1.611,1.624,0.013
178,"ERF:12:1,TGAMMA:120:1",ERF_12_c1,1,21.2,25.2,12734,12846,1.009,1.0,0.009
178,"ERF:12:1,TGAMMA:120:1",TGAMMA_120_c1,4,4.0,25.2,67717,67619,0.999,1.0,0.001
179,"XPY:60:1,POW:36:2,ERF:12:1",XPY_60_c1,0,45.2,95.7,29859,79683,2.669,2.355,0.314
179,"XPY:60:1,POW:36:2,ERF:12:1",POW_36_c2,"4,1",29.3,95.7,36901,68739,1.863,1.905,0.042
179,"XPY:60:1,POW:36:2,ERF:12:1",ERF_12_c1,5,21.2,95.7,12734,21950,1.724,1.932,0.209
180,"DOT:84:1,SQRTX:48:1,TGAMMA:12:1,SQRTX:12:1",DOT_84_c1,0,34.0,77.7,37041,61806,1.669,1.934,0.265
180,"DOT:84:1,SQRTX:48:1,TGAMMA:12:1,SQRTX:12:1",SQRTX_48_c1,5,19.9,77.7,36255,63665,1.756,1.709,0.047
180,"DOT:84:1,SQRTX:48:1,TGAMMA:12:1,SQRTX:12:1",TGAMMA_12_c1,4,4.0,77.7,6773,6957,1.027,1.048,0.021
180,"DOT:84:1,SQRTX:48:1,TGAMMA:12:1,SQRTX:12:1",SQRTX_12_c1,1,19.8,77.7,9078,15896,1.751,1.71,0.041
181,"POW:24:2,ERF:24:1",POW_24_c2,"4,1",29.3,50.5,24606,26248,1.067,1.01,0.057
181,"POW:24:2,ERF:24:1",ERF_24_c1,0,21.2,50.5,25440,30996,1.218,1.238,0.02
182,"XPY:48:2,DOT:36:1,TGAMMA:60:1",XPY_48_c2,"0,5",48.7,86.7,22157,37742,1.703,1.609,0.094
182,"XPY:48:2,DOT:36:1,TGAMMA:60:1",DOT_36_c1,4,34.0,86.7,15880,53118,3.345,2.275,1.07
182,"XPY:48:2,DOT:36:1,TGAMMA:60:1",TGAMMA_60_c1,1,4.0,86.7,33855,36077,1.066,1.053,0.013
183,"SUM:108:2,SQRTX:12:2",SUM_108_c2,"0,1",40.0,78.6,20247,33476,1.653,2.07,0.416
183,"SUM:108:2,SQRTX:12:2",SQRTX_12_c2,"4,5",38.6,78.6,4659,7911,1.698,1.955,0.257
184,"DOT:84:1,SUM:108:1,TGAMMA:60:1,POW:24:1",DOT_84_c1,4,34.0,85.0,37041,94729,2.557,2.183,0.375
184,"DOT:84:1,SUM:108:1,TGAMMA:60:1,POW:24:1",SUM_108_c1,1,32.0,85.0,25305,48327,1.91,2.224,0.315
184,"DOT:84:1,SUM:108:1,TGAMMA:60:1,POW:24:1",TGAMMA_60_c1,5,4.0,85.0,33855,35290,1.042,1.054,0.011
184,"DOT:84:1,SUM:108:1,TGAMMA:60:1,POW:24:1",POW_24_c1,0,15.0,85.0,48124,83921,1.744,1.419,0.324
185,"XPY:48:1,SQRTX:12:1,ERF:48:1,POW:24:1",XPY_48_c1,5,44.9,100.9,24058,61160,2.542,2.497,0.046
185,"XPY:48:1,SQRTX:12:1,ERF:48:1,POW:24:1",SQRTX_12_c1,4,19.8,100.9,9078,15413,1.698,2.02,0.322
185,"XPY:48:1,SQRTX:12:1,ERF:48:1,POW:24:1",ERF_48_c1,1,21.2,100.9,50880,137603,2.704,2.127,0.578
185,"XPY:48:1,SQRTX:12:1,ERF:48:1,POW:24:1",POW_24_c1,0,15.0,100.9,48124,59453,1.235,1.496,0.261
186,"XPY:60:1,SUM:108:1,ERF:24:1",XPY_60_c1,4,45.2,98.4,29859,70701,2.368,2.511,0.143
186,"XPY:60:1,SUM:108:1,ERF:24:1",SUM_108_c1,0,32.0,98.4,25305,81644,3.226,2.812,0.415
186,"XPY:60:1,SUM:108:1,ERF:24:1",ERF_24_c1,1,21.2,98.4,25440,29223,1.149,1.909,0.761
